0	肚子胖怎样减肥	你的室友因为不控制饮食，导致肚子特别胖，你想帮助他找到一些合理的减肥方法	请你根据搜索结果，提出三点减掉胖肚子的方法。
1	中国带州的城市	你在知乎看到了一篇中国城市命名规律和历史的文章，突然好奇有哪些城市的名字是以州结尾的，想搜索一下。	请列举出几个以州结尾的城市的名字。
2	去香港要办什么手续	快要放假了，你想和朋友一起去香港游玩，你需要搜索调研一下去香港前要办什么手续。	请你说说去香港要办什么手续。
3	韩国三大未破案件	你刚看了一部韩国影片《孩子们》，听说它是由韩国三大未破案件之一改编，你很好奇，想搜索一下韩国三大未破案件是哪三起案件。	请回答韩国三大未破案件是哪三起案件。
4	广州有哪里好玩	你们一家十一长假计划去广州游玩，想搜索一下广州有哪里比较好玩。	请根据你搜索的结果说说你们计划去广州的哪些地方。
5	德国影院枪击案	今天是2016年6月25日，你听说德国电影院前两天发生了枪击案，想搜索了解一下这起事件的相关信息。	请说说你获得的枪击案的相关信息。
6	2016河南高考状元	今天是2016年6月25日，高考分数已经公布，你想看看今年河南省的高考状元都是谁，分数是多少。	请说说2016年河南文理科状元分别是谁，分数是多少。
7	诗经中最唯美的句子	《古代语文》课要求大家选一些诗经中最唯美句子，你并不是很了解，想查询一下诗经中有哪些唯美的句子。	请给出你查询到的诗经中最唯美的句子。
8	price tag 歌词	你曾经听过一首歌叫《price tag》，但是你已经忘记歌词了，请搜索一下它的歌词，并记下令你印象最深的一句歌词。	请说说你印象最深的是哪一句歌词。
9	蓝莓为什么对眼睛好	最近课程多压力大，眼睛非常累，你听说蓝莓对眼睛好，你对这个信息半信半疑，想搜索看看网络上有没有相关的解释。	请谈谈你对这种说法的理解。
10	白芷的功效与作用	你听说有一种药材叫白芷，想搜索一下白芷有什么功效和作用。	请简要介绍一下白芷的功效与作用。
11	小毛驴儿歌视频	你明天要教幼儿园的小朋友唱一首儿歌叫小毛驴，你想搜索一下相关的视频明天给小朋友看。	请回答你是否找到了小毛驴儿歌的视频。
12	横县临江壮歌剧	你的广西朋友告诉你横县临江的壮歌剧非常有特色，你想搜索一下相关的视频看看。	请回答你是否观看了壮歌剧视频，最好能说出歌剧的名称。
13	范玮琪	你在综艺节目上看到了一个女歌手叫做范玮琪，你想通过搜索多获得一些她的资料。	请介绍一下你获得了关于范玮琪的哪些资料。
14	詹姆斯·麦斯登	你在观看X战警的时候知道了一个演员叫做詹姆斯·麦斯登，想搜索一下他的相关信息。	请简单介绍一下詹姆斯•麦斯登这个人。
15	中南大学官网	你忘记了中南大学官网的网址，想要通过搜索找到中南大学的官网。	请回答你是否找到了中南大学的官网。
16	下关一中	你的室友说他来自下关一中，你没听说过这个地方，想搜索了解一下相关的信息。	请简单介绍下关一中的相关信息。
17	婆婆灰	你听说最近流行把头发染成婆婆灰，你想搜索一下婆婆灰是什么样子。	请根据你搜索的印象说说婆婆灰是怎样的。
18	跛脚是什么意思	请搜索一下跛脚是什么意思。	请回答跛脚是什么意思。
19	乌鲁木齐到南京机票	你明天要从乌鲁木齐到南京，想搜索一下机票的情况，计划一下预定哪一趟航班。	请说说你计划预定哪一趟航班。
20	手游穿越火线	你的朋友们叫你一起玩手游穿越火线，你想搜索下载一个。	请说说你是否找到了手游穿越火线的下载资源。
