Target System	Query	Consistent	Sogou Relevance	Target System Relevance	SBS	ERR Sogou	ERR Target System
baidu	0009:好看的小说	P<M=	3|3|3.5|2|3	3|3|3|3|4	-1	0.5926	0.6052
baidu	0010:wipe cache partition	P<M=	3|3|4|3|0	3|3|4|3|3	-1	0.6064	0.6133
baidu	0011:美女图片	P=M<	4.5|3|4|3|4	4.5|4|3|2|4	0	0.7445	0.7553
baidu	0012:oppor9	P=M<	4.5|2|3|3|3	4.5|3|3|2|3	0	0.7111	0.7284
baidu	0016:闵行区农业银行	P<M>	3|4|4|2|2	4|4.5|0|3|4	-1	0.6359	0.7475
baidu	0019:长江水文网	P=M<	5|2|3|2|0	5|3|2.5|3|0	0	0.8461	0.8576
baidu	0021:春江花月夜原文	P>M=	4.5|4|4|4|4	4|4|4|2|3	1	0.7647	0.7593
baidu	0023:笃字的拼音	P=M>	4.5|4|3.5|2|2.5	4.5|2|3.5|0|0	0	0.7492	0.6827
baidu	0024:天气预报济南	P<M>	3|3|4|4|3	4.5|2|3|2|2	-1	0.6182	0.6984
baidu	0025:雪佛兰	P=M<	4|3|4|3|3	4|4|3|3|3	0	0.7422	0.7555
baidu	0034:海马s5	P=M>	4.5|4.5|3|3|3	4.5|3|3|4|4	0	0.7555	0.7405
baidu	0036:比萨斜塔	P<M=	4|3|3|2|0	4|3|3|3|3	-1	0.7192	0.7333
baidu	0038:广州市第八人民医院	P>M=	4.5|3|3|3|3	3|4.5|3|3|3	1	0.7333	0.6333
baidu	0039:青岛职业技术学院	P=M<	4.5|3|3|3|3	4.5|3|4.5|3|2	0	0.7333	0.7399
baidu	0041:一级建造师注册网	P=M<	4.5|2.5|3.5|0|2	4.5|3|2.5|0|3	0	0.6903	0.7114
baidu	0042:韩剧步步惊心丽	P=M<	4.5|3|3|2|3	4.5|3|4|2|3	0	0.7284	0.7389
baidu	0043:我的世界籽岷	P<M>	4|4|3.5|2|2	4.5|3|3|2|4	-1	0.7492	0.733
baidu	0047:一路顺疯	P>M=	4.5|3|3|2|4	3|4.5|3|2|3	1	0.733	0.6284
baidu	0049:大乐透	P=M>	4|3.5|2|2|3	4|2.5|3|2|2.5	0	0.7179	0.6984
