queryid	query	source	rank	top	bottom	score	url	result_height
2	49天之同人	sogou	5	628	749	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919003319/keyword=49%E5%A4%A9%E4%B9%8B%E5%90%8C%E4%BA%BA/id=5df3e78e-8e78-4f97-a10e-5c3e7cdda025/sec=T-DgYTZRp69J1Kzc2dkF8g../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E9%259F%25A9%25E5%2589%25A749%25E5%25A4%25A9%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=5df3e78e-8e78-4f97-a10e-5c3e7cdda025&dp=1&key=49%E5%A4%A9%E4%B9%8B%E5%90%8C%E4%BA%BA&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
3	全民大学霸	sogou	5	1073	1194	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919003812/keyword=%E5%85%A8%E6%B0%91%E5%A4%A7%E5%AD%A6%E9%9C%B8/id=9b4f0d72-0899-4acb-b1e0-ed42a41abda2/sec=GCs1CljRBzL2l54wdQvDhA../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E7%25A7%2591%25E6%258A%2580%25E4%25B9%258B%25E9%2597%25A8%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=9b4f0d72-0899-4acb-b1e0-ed42a41abda2&dp=1&key=%E5%85%A8%E6%B0%91%E5%A4%A7%E5%AD%A6%E9%9C%B8&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
4	广西流浪汉月半小夜曲快手	sogou	4	458	579	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919004949/keyword=%E5%B9%BF%E8%A5%BF%E6%B5%81%E6%B5%AA%E6%B1%89%E6%9C%88%E5%8D%8A%E5%B0%8F%E5%A4%9C%E6%9B%B2%E5%BF%AB%E6%89%8B/id=a1c1b958-639f-4cdf-adee-10520969826d/sec=2iaga0nUr-OMejt0bNLfOg../dp=1/vr=30010081/k=%E5%8F%91%E5%B8%83%E6%97%B6%E9%97%B4/tc?pg=webz&clk=4&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E5%25B9%25BF%25E8%25A5%25BF%25E6%25B5%2581%25E6%25B5%25AA%25E6%25B1%2589%25E6%259C%2588%25E5%258D%258A%25E5%25B0%258F%25E5%25A4%259C%25E6%259B%25B2%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D4%26htindex%3D1%26htdbg%3Didc%253Esjs%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=a1c1b958-639f-4cdf-adee-10520969826d&dp=1&key=%E5%B9%BF%E8%A5%BF%E6%B5%81%E6%B5%AA%E6%B1%89%E6%9C%88%E5%8D%8A%E5%B0%8F%E5%A4%9C%E6%9B%B2%E5%BF%AB%E6%89%8B&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
5	提现到挂失的银行卡里怎么办	sogou	4	647	768	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919010809/keyword=%E6%8F%90%E7%8E%B0%E5%88%B0%E6%8C%82%E5%A4%B1%E7%9A%84%E9%93%B6%E8%A1%8C%E5%8D%A1%E9%87%8C%E6%80%8E%E4%B9%88%E5%8A%9E/id=28eac40e-845b-44ea-b37a-c52426d44f24/sec=0LjC-Rv7tbjQ4n1PQugXJA../dp=1/vr=30010081/tc?pg=webz&clk=4&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E6%258F%2590%25E7%258E%25B0%25E5%2588%25B0%25E6%258C%2582%25E5%25A4%25B1%25E9%2593%25B6%25E8%25A1%258C%25E5%258D%25A1%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D4%26htindex%3D1%26htdbg%3Didc%253Esjs%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=28eac40e-845b-44ea-b37a-c52426d44f24&dp=1&key=%E6%8F%90%E7%8E%B0%E5%88%B0%E6%8C%82%E5%A4%B1%E7%9A%84%E9%93%B6%E8%A1%8C%E5%8D%A1%E9%87%8C%E6%80%8E%E4%B9%88%E5%8A%9E&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
6	中国新歌声主题曲	sogou	5	867	988	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919010845/keyword=%E4%B8%AD%E5%9B%BD%E6%96%B0%E6%AD%8C%E5%A3%B0%E4%B8%BB%E9%A2%98%E6%9B%B2/id=9bf5c1bc-f9b8-4cee-98d4-32670ec4f306/sec=geW5FQg4bDqw_J5WNdwVaw../dp=1/vr=30010081/tc?pg=webz&clk=5&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E4%25B8%25AD%25E5%259B%25BD%25E6%2596%25B0%25E6%25AD%258C%25E5%25A3%25B0%25E6%258F%2592%25E6%259B%25B2%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D5%26htindex%3D1%26htdbg%3Didc%253Esjs%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=9bf5c1bc-f9b8-4cee-98d4-32670ec4f306&dp=1&key=%E4%B8%AD%E5%9B%BD%E6%96%B0%E6%AD%8C%E5%A3%B0%E4%B8%BB%E9%A2%98%E6%9B%B2&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
50	下面痒是怎么回事	sogou	5	1149	1270	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919010922/keyword=%E4%B8%8B%E9%9D%A2%E7%97%92%E6%98%AF%E6%80%8E%E4%B9%88%E5%9B%9E%E4%BA%8B/id=110c3f2d-a7f1-401d-8e0c-7388fbf80687/sec=geW5FQg4bDoxp7RMqoy9Dw../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E4%25B8%258B%25E9%259D%25A2%25E7%2597%2592%25E7%2594%25A8%25E4%25BB%2580%25E4%25B9%2588%25E6%25B8%2585%25E6%25B4%2597%25E6%259C%2580%25E5%25A5%25BD%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=110c3f2d-a7f1-401d-8e0c-7388fbf80687&dp=1&key=%E4%B8%8B%E9%9D%A2%E7%97%92%E6%98%AF%E6%80%8E%E4%B9%88%E5%9B%9E%E4%BA%8B&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
7	宝塔镇河妖的下一句是什么	sogou	5	707	828	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919013036/keyword=%E5%AE%9D%E5%A1%94%E9%95%87%E6%B2%B3%E5%A6%96%E7%9A%84%E4%B8%8B%E4%B8%80%E5%8F%A5%E6%98%AF%E4%BB%80%E4%B9%88/id=c08bba37-e108-4094-b310-dfc5343a1b3c/sec=5AIevPgo074NhzXf5yFL2w../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E5%25AE%259D%25E5%25A1%2594%25E9%2595%2587%25E6%25B2%25B3%25E5%25A6%2596%25E4%25B8%258B%25E4%25B8%2580%25E5%258F%25A5%25E6%2590%259E%25E7%25AC%2591%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=c08bba37-e108-4094-b310-dfc5343a1b3c&dp=1&key=%E5%AE%9D%E5%A1%94%E9%95%87%E6%B2%B3%E5%A6%96%E7%9A%84%E4%B8%8B%E4%B8%80%E5%8F%A5%E6%98%AF%E4%BB%80%E4%B9%88&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
8	球球大作战兑换码礼品	sogou	5	628	749	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919014003/keyword=%E7%90%83%E7%90%83%E5%A4%A7%E4%BD%9C%E6%88%98%E5%85%91%E6%8D%A2%E7%A0%81%E7%A4%BC%E5%93%81/id=6633ba80-dbd6-4cf7-a8dd-ee6f12a0c216/sec=reWoV2e26UQSYLAmmI9BMw../dp=1/vr=30010081/tc?pg=webz&clk=6&url=http%3A%2F%2Fwap.sogou.com%2Fweb%2FsearchList.jsp%3Fkeyword%3D%25E7%2590%2583%25E7%2590%2583%25E5%25A4%25A7%25E4%25BD%259C%25E6%2588%2598%25E5%2585%2591%25E6%258D%25A2%25E7%25A0%2581%25E5%2585%258D%25E8%25B4%25B9%26uID%3DFIeW8l4_EZW4HVRn%26dp%3D1%26v%3D5%26s_from%3Dhint_middle%26htpos%3D6%26htindex%3D1%26htdbg%3Didc%253Ebjzw%257CdbgID%253E01%257Cabt%253E2%257Cmth%253E1&f=0&id=6633ba80-dbd6-4cf7-a8dd-ee6f12a0c216&dp=1&key=%E7%90%83%E7%90%83%E5%A4%A7%E4%BD%9C%E6%88%98%E5%85%91%E6%8D%A2%E7%A0%81%E7%A4%BC%E5%93%81&pno=1&g_ut=3&is_per=0&vrid=30010081&linkid=0&wml=1&w=1281	-1
9	好看的小说	sogou	1	7	551	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919014045/keyword=%E5%A5%BD%E7%9C%8B%E7%9A%84%E5%B0%8F%E8%AF%B4/id=168d81ce-0380-4e38-b373-d8c43927e1bf/sec=reWoV2e26UTA3qvNKrVlQg../dp=1/vr=21312301/k=%E5%B0%8F%E8%AF%B4/tc?dp=1&key=%E5%A5%BD%E7%9C%8B%E7%9A%84%E5%B0%8F%E8%AF%B4&pno=1&g_ut=3&is_per=0&clk=1&url=http%3A%2F%2Fk.sogou.com%2Fn%2Fv5%2Ftop%3FchannelName%3Dnovel_top_zuirebang%26f_m%3Dsg1%26gf%3Devr-d-p-i%26v%3D5%26v%3D5&vrid=21312301&wml=1&linkid=0	-1
9	好看的小说	sogou	4	820	1079	0	./uID=FIeW8l4_EZW4HVRn/v=5/type=1/sp=1/ct=160919014045/keyword=%E5%A5%BD%E7%9C%8B%E7%9A%84%E5%B0%8F%E8%AF%B4/id=168d81ce-0380-4e38-b373-d8c43927e1bf/sec=reWoV2e26UTA3qvNKrVlQg../dp=1/vr=300801/tc?dp=1&key=%E5%A5%BD%E7%9C%8B%E7%9A%84%E5%B0%8F%E8%AF%B4&pno=1&g_ut=3&is_per=0&clk=3&url=http%3A%2F%2Fwk.baidu.com%2Fview%2F320addd40029bd64793e2c4b&vrid=300801&wml=1&linkid=0	-1
