Target System	Query	Consistent	Sogou Relevance	Target System Relevance	SBS	ERR Sogou	ERR Target System
sm	0002:49天之同人	P=M<	0|0|0|2|0	0|0|2|0|0	0	0.05	0.0667
sm	0008:球球大作战兑换码礼品	P=M=	0|0|0|2|3	0|0|0|0|2	0	0.114	0.04
sm	0010:wipe cache partition	P<M>	3|3|4|3|0	3|4|0|3|0	-1	0.6064	0.604
sm	0012:oppor9	P>M<	4.5|2|3|3|3	3|3|4|3|2	1	0.7111	0.6099
sm	0016:闵行区农业银行	P<M=	3|4|4|2|2	3|4.5|4|3|2	-1	0.6359	0.6399
sm	0019:长江水文网	P=M>	5|2|3|2|0	3|2|2|3|2	0	0.8461	0.5396
sm	0023:笃字的拼音	P=M>	4.5|4|3.5|2|2.5	4|3.5|4|0|3.5	0	0.7492	0.7357
sm	0024:天气预报济南	P=M<	3|3|4|4|3	4.5|3|4|3|4	0	0.6182	0.7445
sm	0028:光头强动画片全集	P>M<	4|2|3|3|2	3|3|4|2|0	1	0.7065	0.5992
sm	0030:腾讯电脑管家	P=M>	4|3|3|4|2	4|3|2.5|3|0	0	0.7359	0.7152
sm	0031:果糖的主要功能	P=M>	0|4|4|4|3	3|2|3|3|0	0	0.4091	0.5528
sm	0032:上海商学院志愿者服务网	P>M<	4.5|0|2.5|3|3	4.5|0|4.5|3|0	1	0.674	0.696
sm	0033:note7国行爆炸	P=M>	4|4|4|3|3	4|3|3|3|3	0	0.7615	0.7333
sm	0036:比萨斜塔	P<M=	4|3|3|2|0	4.5|3|3|3|3	-1	0.7192	0.7333
sm	0039:青岛职业技术学院	P=M>	4.5|3|3|3|3	4.5|2|3|4|3	0	0.7333	0.7176
sm	0043:我的世界籽岷	P<M>	4|4|3.5|2|2	4.5|2|4|3|4	-1	0.7492	0.726
sm	0048:罪恶成魔	P=M>	4|3|3|3|2	3.5|3|3|3|3.5	0	0.7299	0.6
sm	0049:大乐透	P=M>	4|3.5|2|2|3	4|2|3|3|2	0	0.7179	0.7065
