Metric	0001:走路软件	0002:49天之同人	0003:全民大学霸	0004:广西流浪汉月半小夜曲快手	0005:提现到挂失的银行卡里怎么办	0006:中国新歌声主题曲	0007:宝塔镇河妖的下一句是什么	0008:球球大作战兑换码礼品	0009:好看的小说	0010:wipe cache partition	0011:美女图片	0012:oppor9	0013:拔罐之后皮肤很黑是什么情况	0014:小说排行榜	0015:江疏影	0016:闵行区农业银行	0017:金贝辛格	0018:海南碧桂园	0019:长江水文网	0020:梦见失去工作	0021:春江花月夜原文	0022:天天向商软件官方下载	0023:笃字的拼音	0024:天气预报济南	0025:雪佛兰	0026:严东生逝世	0027:美国神婆	0028:光头强动画片全集	0029:炒饼的做法	0030:腾讯电脑管家	0031:果糖的主要功能	0032:上海商学院志愿者服务网	0033:note7国行爆炸	0034:海马s5	0035:申通快递	0036:比萨斜塔	0037:合肥到成都飞机票	0038:广州市第八人民医院	0039:青岛职业技术学院	0040:深圳三和人才市场招聘	0041:一级建造师注册网	0042:韩剧步步惊心丽	0043:我的世界籽岷	0044:关于秋天的作文500字	0045:绿地集团	0046:百度	0047:一路顺疯	0048:罪恶成魔	0049:大乐透	0050:下面痒是怎么回事
MSnDCG@0003	CONSIST|0.43|0.81	CONSIST|0.0|0.0	CONSIST|0.901|0.609	CONSIST|0.531|0.313	CONSIST|1.0|0.453	CONSIST|0.587|0.413	CONSIST|1.0|0.687	CONSIST|0.0|0.433	CONSIST|0.667|0.823	CONSIST|0.745|0.745	P=M>|0.901|0.844	CONSIST|0.724|0.901	CONSIST|0.905|0.81	CONSIST|0.49|0.724	CONSIST|0.803|0.803	CONSIST|0.844|0.922	P>M=|0.745|0.745	CONSIST|0.922|0.609	P=M>|0.661|0.602	P>M<|0.609|0.745	CONSIST|1.0|0.844	CONSIST|0.844|0.0	P=M<|0.922|1.0	P=M<|0.745|1.0	CONSIST|0.901|0.745	CONSIST|0.823|0.823	CONSIST|0.441|0.602	CONSIST|0.786|0.553	CONSIST|0.922|0.667	CONSIST|0.823|0.844	CONSIST|0.531|0.922	CONSIST|0.547|0.333	P=M>|1.0|0.823	P=M>|0.922|0.823	CONSIST|0.765|0.648	CONSIST|0.823|0.823	CONSIST|1.0|1.0	CONSIST|0.823|0.823	CONSIST|0.823|0.823	CONSIST|0.441|0.543	CONSIST|0.724|0.626	P>M=|0.823|0.823	P<M>|0.922|0.823	CONSIST|0.844|0.687	P<M=|0.589|0.609	CONSIST|0.735|0.602	CONSIST|0.823|0.823	CONSIST|1.0|0.81	CONSIST|0.745|0.823	CONSIST|0.893|0.723
NCUrb,P	CONSIST|0.214|0.389	P=M>|0.088|0.0	P>M=|0.353|0.353	CONSIST|0.223|0.132	CONSIST|0.381|0.172	CONSIST|0.292|0.164	P>M=|0.363|0.363	CONSIST|0.085|0.355	P<M=|0.353|0.353	P=M<|0.319|0.389	CONSIST|0.353|0.353	P<M=|0.353|0.353	P>M=|0.353|0.353	P<M=|0.353|0.353	CONSIST|0.353|0.353	P<M=|0.363|0.363	P>M=|0.353|0.353	P>M=|0.353|0.353	CONSIST|0.319|0.319	CONSIST|0.375|0.293	P>M=|0.353|0.353	CONSIST|0.442|0.0	CONSIST|0.389|0.389	CONSIST|0.353|0.353	P>M=|0.353|0.353	CONSIST|0.389|0.389	P<M=|0.363|0.363	CONSIST|0.375|0.275	P>M=|0.363|0.363	CONSIST|0.363|0.363	CONSIST|0.207|0.375	P>M<|0.258|0.389	CONSIST|0.389|0.389	CONSIST|0.353|0.353	P>M=|0.353|0.353	CONSIST|0.308|0.308	CONSIST|0.363|0.363	CONSIST|0.353|0.353	P=M>|0.363|0.298	P<M>|0.363|0.266	CONSIST|0.33|0.279	P>M=|0.353|0.353	P<M=|0.353|0.353	P>M=|0.353|0.353	P<M=|0.353|0.353	P>M=|0.353|0.353	CONSIST|0.353|0.353	P>M=|0.353|0.353	P<M=|0.353|0.353	CONSIST|0.389|0.319
Q@0003	CONSIST|0.343|0.836	CONSIST|0.0|0.0	CONSIST|0.931|0.667	CONSIST|0.389|0.25	CONSIST|1.0|0.361	CONSIST|0.518|0.352	CONSIST|1.0|0.792	CONSIST|0.0|0.444	CONSIST|0.75|0.903	CONSIST|0.778|0.778	CONSIST|0.931|0.944	CONSIST|0.833|0.931	P>M=|0.869|0.836	CONSIST|0.653|0.833	CONSIST|0.861|0.861	CONSIST|0.847|0.972	CONSIST|0.875|0.778	CONSIST|0.972|0.667	CONSIST|0.789|0.767	P>M<|0.667|0.778	CONSIST|1.0|0.944	CONSIST|0.847|0.0	CONSIST|0.972|1.0	P=M<|0.778|1.0	CONSIST|0.931|0.778	CONSIST|0.903|0.903	CONSIST|0.578|0.767	CONSIST|0.856|0.5	CONSIST|0.972|0.75	CONSIST|0.903|0.944	CONSIST|0.389|0.972	P>M=|0.5|0.5	P=M>|1.0|0.903	P=M>|0.972|0.903	CONSIST|0.833|0.711	CONSIST|0.903|0.903	CONSIST|1.0|1.0	CONSIST|0.903|0.903	CONSIST|0.903|0.903	P<M=|0.578|0.567	CONSIST|0.833|0.528	P>M=|0.903|0.903	P<M>|0.972|0.903	CONSIST|0.847|0.694	P<M=|0.625|0.667	CONSIST|0.844|0.767	CONSIST|0.903|0.903	CONSIST|1.0|0.836	P<M=|0.875|0.903	CONSIST|0.928|0.773
P-measure	CONSIST|0.429|0.75	P=M>|0.25|0.0	CONSIST|1.0|0.75	P>M<|0.5|0.75	CONSIST|1.0|0.5	CONSIST|1.0|0.5	CONSIST|1.0|0.875	CONSIST|0.417|0.667	CONSIST|0.75|1.0	CONSIST|0.833|0.833	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|0.75|1.0	CONSIST|1.0|1.0	CONSIST|0.875|1.0	CONSIST|1.0|0.833	CONSIST|1.0|0.75	CONSIST|1.0|1.0	P>M<|0.75|0.833	P>M=|1.0|1.0	CONSIST|0.875|0.0	CONSIST|1.0|1.0	P=M<|0.833|1.0	CONSIST|1.0|0.833	CONSIST|1.0|1.0	CONSIST|0.6|1.0	CONSIST|1.0|0.75	CONSIST|1.0|0.75	CONSIST|1.0|1.0	CONSIST|0.5|1.0	CONSIST|1.0|0.563	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|0.9|0.8	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|0.6|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|0.875|0.75	P<M=|0.75|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|0.75	P<M=|1.0|1.0	CONSIST|1.0|0.75
O-measure	CONSIST|0.429|0.75	P=M>|0.25|0.0	CONSIST|1.0|0.5	P>M<|0.5|0.75	CONSIST|1.0|0.5	CONSIST|1.0|0.5	CONSIST|1.0|0.75	CONSIST|0.2|0.667	CONSIST|0.75|1.0	CONSIST|0.75|0.75	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|0.75|0.75	CONSIST|0.75|1.0	CONSIST|1.0|1.0	CONSIST|0.75|1.0	CONSIST|1.0|0.75	CONSIST|1.0|0.5	CONSIST|1.0|1.0	P>M<|0.5|0.75	P>M=|1.0|1.0	CONSIST|0.75|0.0	CONSIST|1.0|1.0	P=M<|0.75|1.0	CONSIST|1.0|0.75	CONSIST|1.0|1.0	CONSIST|0.6|1.0	CONSIST|1.0|0.75	CONSIST|1.0|0.75	CONSIST|1.0|1.0	CONSIST|0.5|1.0	CONSIST|1.0|0.5	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|0.8|0.6	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|0.6|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|0.75|0.5	P<M=|0.5|0.5	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|0.75	P<M=|1.0|1.0	CONSIST|1.0|0.75
NCUgu,BR	CONSIST|0.145|0.257	P=M>|0.063|0.0	CONSIST|0.279|0.14	CONSIST|0.168|0.049	CONSIST|0.319|0.139	CONSIST|0.229|0.123	CONSIST|0.316|0.203	CONSIST|0.094|0.176	P<M=|0.159|0.208	CONSIST|0.193|0.212	CONSIST|0.254|0.234	CONSIST|0.196|0.261	P>M=|0.235|0.224	CONSIST|0.122|0.209	CONSIST|0.196|0.22	CONSIST|0.192|0.255	P>M=|0.195|0.221	CONSIST|0.243|0.158	CONSIST|0.216|0.191	P>M=|0.193|0.177	CONSIST|0.3|0.182	CONSIST|0.31|0.0	P=M<|0.241|0.322	P=M<|0.209|0.292	P>M=|0.243|0.194	CONSIST|0.283|0.254	CONSIST|0.11|0.178	CONSIST|0.248|0.178	CONSIST|0.262|0.174	CONSIST|0.246|0.275	CONSIST|0.181|0.282	CONSIST|0.184|0.121	P=M>|0.317|0.241	CONSIST|0.235|0.201	P>M=|0.193|0.158	CONSIST|0.184|0.206	CONSIST|0.278|0.252	CONSIST|0.226|0.226	P=M>|0.235|0.175	P<M=|0.114|0.153	P>M=|0.194|0.226	P>M=|0.211|0.211	P<M=|0.218|0.202	P>M=|0.235|0.193	CONSIST|0.141|0.193	P>M=|0.222|0.19	CONSIST|0.228|0.228	P>M=|0.248|0.218	CONSIST|0.207|0.263	CONSIST|0.336|0.16
pbg_hcs_modi	CONSIST|7.11|11.475	P=M>|1.401|0.0	CONSIST|15.853|12.327	CONSIST|12.467|4.471	CONSIST|14.735|10.627	CONSIST|8.344|6.699	CONSIST|16.963|9.422	CONSIST|4.624|5.97	CONSIST|6.326|13.042	CONSIST|12.158|12.535	P=M>|17.004|14.041	CONSIST|10.515|13.28	CONSIST|12.79|9.554	CONSIST|11.002|12.509	P=M<|13.336|15.987	CONSIST|13.617|15.272	P>M<|9.066|15.206	CONSIST|16.255|13.715	P=M>|11.361|10.624	CONSIST|12.654|11.566	CONSIST|20.495|14.699	CONSIST|15.722|0.0	CONSIST|15.892|15.82	CONSIST|15.99|15.326	CONSIST|14.717|13.602	CONSIST|11.981|11.965	CONSIST|9.643|11.212	CONSIST|13.896|10.933	CONSIST|15.478|9.714	P=M<|13.084|14.441	CONSIST|10.965|12.541	CONSIST|13.688|12.75	P=M>|11.65|10.814	P=M>|12.537|11.036	CONSIST|17.764|15.173	CONSIST|10.969|11.402	CONSIST|18.699|18.788	CONSIST|15.769|15.499	P=M>|15.979|12.923	CONSIST|10.839|11.482	CONSIST|13.073|12.068	CONSIST|14.549|10.558	CONSIST|14.577|15.74	CONSIST|14.815|8.353	CONSIST|12.914|15.532	CONSIST|14.735|13.924	CONSIST|15.728|15.591	CONSIST|14.525|13.218	CONSIST|14.577|15.592	CONSIST|16.784|7.729
Q-measure	CONSIST|0.145|0.257	P=M>|0.083|0.0	CONSIST|0.229|0.167	CONSIST|0.156|0.066	CONSIST|0.298|0.126	CONSIST|0.206|0.114	CONSIST|0.261|0.21	CONSIST|0.069|0.215	P<M=|0.184|0.212	CONSIST|0.185|0.228	CONSIST|0.228|0.225	P<M=|0.2|0.226	P>M=|0.227|0.218	P<M=|0.159|0.198	CONSIST|0.207|0.215	P<M=|0.216|0.241	P>M=|0.212|0.205	CONSIST|0.229|0.175	CONSIST|0.178|0.171	P>M=|0.201|0.169	P>M=|0.25|0.217	CONSIST|0.309|0.0	CONSIST|0.264|0.281	CONSIST|0.203|0.244	P>M=|0.226|0.197	CONSIST|0.261|0.254	P<M=|0.145|0.18	CONSIST|0.236|0.158	P>M=|0.244|0.197	CONSIST|0.231|0.237	CONSIST|0.148|0.258	P>M=|0.159|0.159	CONSIST|0.285|0.254	CONSIST|0.232|0.216	P>M=|0.194|0.174	CONSIST|0.192|0.196	CONSIST|0.261|0.251	CONSIST|0.218|0.218	CONSIST|0.227|0.182	P<M=|0.151|0.145	P>M=|0.205|0.193	P>M=|0.21|0.21	P<M=|0.224|0.21	P>M=|0.213|0.185	P<M=|0.162|0.177	P>M=|0.195|0.178	CONSIST|0.213|0.213	P>M=|0.247|0.218	P<M=|0.203|0.218	CONSIST|0.277|0.183
ERR	CONSIST|0.333|0.6	P=M>|0.05|0.0	CONSIST|0.744|0.498	P>M=|0.403|0.43	CONSIST|0.755|0.382	CONSIST|0.479|0.259	CONSIST|0.764|0.631	CONSIST|0.114|0.312	CONSIST|0.593|0.728	CONSIST|0.606|0.608	CONSIST|0.745|0.753	P<M=|0.711|0.742	P>M=|0.61|0.6	CONSIST|0.523|0.698	CONSIST|0.723|0.727	CONSIST|0.636|0.755	CONSIST|0.731|0.621	CONSIST|0.755|0.511	CONSIST|0.846|0.837	P>M<|0.518|0.609	P>M=|0.765|0.745	CONSIST|0.644|0.0	CONSIST|0.749|0.761	P=M<|0.618|0.763	CONSIST|0.742|0.613	CONSIST|0.738|0.733	CONSIST|0.568|0.841	CONSIST|0.707|0.573	CONSIST|0.755|0.6	CONSIST|0.736|0.753	CONSIST|0.409|0.755	CONSIST|0.674|0.398	CONSIST|0.761|0.733	CONSIST|0.755|0.733	CONSIST|0.776|0.665	CONSIST|0.719|0.726	CONSIST|0.764|0.761	CONSIST|0.733|0.733	CONSIST|0.733|0.719	CONSIST|0.58|0.84	P>M=|0.69|0.689	P>M=|0.728|0.728	P<M=|0.749|0.728	CONSIST|0.642|0.523	P<M=|0.472|0.511	P>M=|0.862|0.847	CONSIST|0.733|0.733	CONSIST|0.73|0.6	P<M=|0.718|0.733	CONSIST|0.737|0.579
RR	CONSIST|0.5|1.0	P=M>|0.25|0.0	P>M=|1.0|1.0	P>M<|0.5|1.0	CONSIST|1.0|0.5	CONSIST|1.0|0.5	P>M=|1.0|1.0	CONSIST|0.25|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|0.5|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0
